ID,name,href,docket_number,term
60282,NLRB v. Las Vegas Sand & Gravel Corp.,https://api.oyez.org/cases/1961/38,38,1961
60283,Commissioner v. Bilder,https://api.oyez.org/cases/1961/384,384,1961
60285,NLRB v. Plumbers,https://api.oyez.org/cases/1961/39,39,1961
60286,Rudolph v. United States,https://api.oyez.org/cases/1961/396,396,1961
60287,"Brown Shoe Company, Inc. v. United States",https://api.oyez.org/cases/1961/4,4,1961
60288,Beck v. Washington,https://api.oyez.org/cases/1961/40,40,1961
60289,Central Railroad Company of Pennsylvania v. Pennsylvania,https://api.oyez.org/cases/1961/400,400,1961
60290,"A. L. Mechling Barge Lines, Inc. v. United States",https://api.oyez.org/cases/1961/41,41,1961
60291,Campbell v. Hussey,https://api.oyez.org/cases/1961/42,42,1961
60292,Link v. Wabash Railroad Company,https://api.oyez.org/cases/1961/422,422,1961
60293,Atkinson v. Sinclair Refining Company,https://api.oyez.org/cases/1961/430,430,1961
60294,Sinclair Refining Company v. Atkinson,https://api.oyez.org/cases/1961/434,434,1961
60295,Grumman v. United States,https://api.oyez.org/cases/1961/436,436,1961
60296,United States v. Borden Company,https://api.oyez.org/cases/1961/439,439,1961
60299,"Poller v. Columbia Broadcasting System, Inc.",https://api.oyez.org/cases/1961/45,45,1961
60300,Silber v. United States,https://api.oyez.org/cases/1961/454,454,1961
60301,Hutcheson v. United States,https://api.oyez.org/cases/1961/46,46,1961
60302,National Labor Relations Board v. Washington Aluminum Company,https://api.oyez.org/cases/1961/464,464,1961
60303,Engel v. Vitale,https://api.oyez.org/cases/1961/468,468,1961
60304,St. Regis Paper Company v. United States,https://api.oyez.org/cases/1961/47,47,1961
60305,Gallegos v. Colorado,https://api.oyez.org/cases/1961/475,475,1961
60306,Gilbert v. United States,https://api.oyez.org/cases/1961/478,478,1961
60307,Still v. Norfolk & Western Railway Company,https://api.oyez.org/cases/1961/48,48,1961
60308,Morales v. City of Galveston,https://api.oyez.org/cases/1961/480,480,1961
60309,United States v. Wise,https://api.oyez.org/cases/1961/488,488,1961
60310,"Enochs v. Williams Packing & Navigation Company, Inc.",https://api.oyez.org/cases/1961/493,493,1961
60311,In Re Mcconnell,https://api.oyez.org/cases/1961/498,498,1961
60312,National Association for the Advancement of Colored People v. Button,https://api.oyez.org/cases/1962/5,5,1962
60313,"Local 174, Teamsters, Chauffeurs, Warehousemen & Helpers of America v. Lucas Flour Company",https://api.oyez.org/cases/1961/50,50,1961
60316,United States v. Union Central Life Insurance Company,https://api.oyez.org/cases/1961/52,52,1961
60317,Calbeck v. Travelers Insurance Company,https://api.oyez.org/cases/1961/532,532,1961
60320,Robinson v. California,https://api.oyez.org/cases/1961/554,554,1961
